QID,Question,Option 1/A,Hypothesis 1/A,OpenIE Triplets 1/A,Option 2/B,Hypothesis 2/B,OpenIE Triplets 2/B,Option 3/C,Hypothesis 3/C,OpenIE Triplets 3/C,Option 4/D,Hypothesis 4/D,OpenIE Triplets 4/D,Option 5/E,Hypothesis 5/E,OpenIE Triplets5/E
Mercury_7175875,An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?,Planetary density will decrease.,An astronomer observes that a planet rotates faster after a meteorite impact. Planetary density will decrease is the most likely effect of this increase in rotation.,planet --- rotates after --> meteorite impact || planet --- rotates faster after --> meteorite impact || planetary density will decrease --- is most likely effect of --> increase in rotation || planetary density will decrease --- is likely effect of --> increase in rotation || planetary density will decrease --- is --> most likely effect || planetary density will decrease --- is --> likely effect || planetary density will decrease --- is most likely effect of --> increase || planetary density will decrease --- is likely effect of --> increase || density will decrease --- is most likely effect of --> increase in rotation || density will decrease --- is likely effect of --> increase in rotation || density will decrease --- is most likely effect of --> increase || density will decrease --- is likely effect of --> increase || density will decrease --- is --> likely effect || density will decrease --- is --> most likely effect || increase --- is in --> rotation ||,Planetary years will become longer.,An astronomer observes that a planet rotates faster after a meteorite impact. Planetary years will become longer is the most likely effect of this increase in rotation.,planet --- rotates after --> meteorite impact || planet --- rotates faster after --> meteorite impact || years will become --- is most likely effect of --> increase || years will become --- is likely effect of --> increase || years will become --- is --> likely effect || years will become --- is most likely effect of --> increase in rotation || years will become --- is likely effect of --> increase in rotation || years will become --- is --> most likely effect || increase --- is in --> rotation || planetary years --- will become --> longer || planetary years will become --- is --> likely effect || planetary years will become --- is most likely effect of --> increase || planetary years will become --- is likely effect of --> increase || planetary years will become --- is most likely effect of --> increase in rotation || planetary years will become --- is likely effect of --> increase in rotation || planetary years will become --- is --> most likely effect || years --- will become --> longer ||,Planetary days will become shorter.,An astronomer observes that a planet rotates faster after a meteorite impact. Planetary days will become shorter is the most likely effect of this increase in rotation.,planet --- rotates after --> meteorite impact || planet --- rotates faster after --> meteorite impact || days will become --- is most likely effect of --> increase || days will become --- is likely effect of --> increase || days will become --- is most likely effect of --> increase in rotation || days will become --- is likely effect of --> increase in rotation || days will become --- is --> likely effect || days will become --- is --> most likely effect || increase --- is in --> rotation || planetary days will become --- is most likely effect of --> increase || planetary days will become --- is likely effect of --> increase || planetary days will become --- is --> most likely effect || planetary days will become --- is most likely effect of --> increase in rotation || planetary days will become --- is likely effect of --> increase in rotation || planetary days will become --- is --> likely effect || days --- will become --> shorter || planetary days --- will become --> shorter ||,Planetary gravity will become stronger.,An astronomer observes that a planet rotates faster after a meteorite impact. Planetary gravity will become stronger is the most likely effect of this increase in rotation.,planet --- rotates after --> meteorite impact || planet --- rotates faster after --> meteorite impact || gravity will become --- is most likely effect of --> increase in rotation || gravity will become --- is likely effect of --> increase in rotation || gravity will become --- is most likely effect of --> increase || gravity will become --- is likely effect of --> increase || gravity will become --- is --> likely effect || gravity will become --- is --> most likely effect || planetary gravity will become --- is --> likely effect || planetary gravity will become --- is most likely effect of --> increase in rotation || planetary gravity will become --- is likely effect of --> increase in rotation || planetary gravity will become --- is --> most likely effect || planetary gravity will become --- is most likely effect of --> increase || planetary gravity will become --- is likely effect of --> increase || increase --- is in --> rotation || planetary gravity --- will become --> stronger || gravity --- will become --> stronger ||,NA,NA,NA
Mercury_SC_409171,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?,buildings will be built faster,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Buildings will be built faster will most likely result from testing different building designs.,building designs --- respond during --> earthquake || group --- wanted --> know || they --- made --> models of buildings || they --- tested --> each || they --- made --> several models || they --- made --> several models of buildings || they --- made --> models ||,buildings will be made safer,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Buildings will be made safer will most likely result from testing different building designs.,building designs --- respond during --> earthquake || group --- wanted --> know || they --- made --> models of buildings || they --- tested --> each || they --- made --> several models || they --- made --> several models of buildings || they --- made --> models || buildings --- will --> will made ||,building designs will look nicer,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Building designs will look nicer will most likely result from testing different building designs.,building designs --- respond during --> earthquake || group --- wanted --> know || they --- made --> models of buildings || they --- tested --> each || they --- made --> several models || they --- made --> several models of buildings || they --- made --> models ||,building materials will be cheaper,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Building materials will be cheaper will most likely result from testing different building designs.,building designs --- respond during --> earthquake || group --- wanted --> know || they --- made --> models of buildings || they --- tested --> each || they --- made --> several models || they --- made --> several models of buildings || they --- made --> models ||,NA,NA,NA
Mercury_SC_408547,The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?,Chemical energy is absorbed through the roots.,The end result in the process of photosynthesis is the production of sugar and oxygen. Chemical energy is absorbed through the roots step signals the beginning of photosynthesis.,end result --- is --> production || end result --- is production of --> sugar || end result --- is in --> process of photosynthesis || chemical energy --- is absorbed through --> roots step || chemical energy --- is --> absorbed || roots step --- signals --> beginning || roots step --- signals --> beginning of photosynthesis || signals --- beginning of --> photosynthesis || gases --- ozone of is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in atmosphere || gases --- ozone of is --> greenhouse gas in atmosphere || gases --- ozone of is --> most abundant greenhouse gas in lower atmosphere || gases --- ozone of is --> most abundant greenhouse gas in atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in lower atmosphere of earth || gases --- ozone of is --> greenhouse gas || gases --- ozone of is --> greenhouse gas in atmosphere of earth || gases --- ozone of is --> most abundant greenhouse gas in atmosphere || gases --- ozone of is --> abundant greenhouse gas in atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in lower atmosphere || gases --- ozone of is --> greenhouse gas in lower atmosphere || ozone --- is --> greenhouse gas || ozone --- is --> most abundant greenhouse gas in lower atmosphere || ozone --- is --> greenhouse gas in lower atmosphere || ozone --- is --> most abundant greenhouse gas in atmosphere || ozone --- is --> most abundant greenhouse gas || ozone --- is --> abundant greenhouse gas in atmosphere of earth || ozone --- is --> abundant greenhouse gas || ozone --- is --> greenhouse gas in lower atmosphere of earth || ozone --- is --> abundant greenhouse gas in lower atmosphere || ozone --- is --> most abundant greenhouse gas in atmosphere of earth || ozone --- is --> abundant greenhouse gas in lower atmosphere of earth || ozone --- is --> greenhouse gas in atmosphere of earth || abundant greenhouse gas --- is in --> lower atmosphere of earth ||,Light energy is converted to chemical energy.,The end result in the process of photosynthesis is the production of sugar and oxygen. Light energy is converted to chemical energy step signals the beginning of photosynthesis.,end result --- is --> production || end result --- is production of --> sugar || end result --- is in --> process of photosynthesis || light energy --- is --> converted || light energy --- signals --> beginning of photosynthesis || light energy --- signals --> beginning || light energy --- is converted to --> chemical energy step || energy --- signals --> beginning of photosynthesis || energy --- signals --> beginning || energy --- is --> converted || energy --- is converted to --> chemical energy step ||,Chlorophyll in the leaf captures light energy.,The end result in the process of photosynthesis is the production of sugar and oxygen. Chlorophyll in the leaf captures light energy step signals the beginning of photosynthesis.,end result --- is --> production || end result --- is production of --> sugar || end result --- is in --> process of photosynthesis || energy step --- signals --> beginning || energy step --- signals --> beginning of photosynthesis || energy step --- beginning of --> photosynthesis || light energy step --- signals --> beginning of photosynthesis || light energy step --- signals --> beginning || light energy step --- beginning of --> photosynthesis || chlorophyll --- is in --> leaf ||,Sunlight is converted into chlorophyll.,The end result in the process of photosynthesis is the production of sugar and oxygen. Sunlight is converted into chlorophyll step signals the beginning of photosynthesis.,end result --- is --> production || end result --- is production of --> sugar || end result --- is in --> process of photosynthesis || sunlight --- is converted into --> chlorophyll step || sunlight --- signals --> beginning of photosynthesis || sunlight --- signals --> beginning || sunlight --- is --> converted ||,NA,NA,NA
Mercury_407327,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?",the control,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. The control is the physicist investigating when he changes the speed.",car --- must reach --> jump over ramp || car --- must reach --> jump || car --- jump over --> ramp || physicist --- wants --> determine || physicist --- conducts --> three trials || speed --- is increased by --> 20 miles || speed --- is --> increased || speed --- is --> in trials increased by 20 miles per hour || speed --- is increased by --> 20 miles per hour || speed --- is --> in trials increased by 20 miles || speed --- is increased in --> trials || control --- is --> physicist investigating || control --- is --> physicist || he --- changes --> speed ||,the hypothesis statement,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. The hypothesis statement is the physicist investigating when he changes the speed.",car --- must reach --> jump over ramp || car --- must reach --> jump || car --- jump over --> ramp || physicist --- wants --> determine || physicist --- conducts --> three trials || speed --- is increased by --> 20 miles || speed --- is --> increased || speed --- is --> in trials increased by 20 miles per hour || speed --- is increased by --> 20 miles per hour || speed --- is --> in trials increased by 20 miles || speed --- is increased in --> trials || hypothesis statement --- is --> physicist investigating || hypothesis statement --- is --> physicist || he --- changes --> speed ||,the dependent (responding) variable,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. The dependent (responding) variable is the physicist investigating when he changes the speed.",car --- must reach --> jump over ramp || car --- must reach --> jump || car --- jump over --> ramp || physicist --- wants --> determine || physicist --- conducts --> three trials || speed --- is increased by --> 20 miles || speed --- is --> increased || speed --- is --> in trials increased by 20 miles per hour || speed --- is increased by --> 20 miles per hour || speed --- is --> in trials increased by 20 miles || speed --- is increased in --> trials || variable --- is --> physicist investigating || variable --- is --> physicist || dependent variable --- is --> physicist || dependent variable --- is --> physicist investigating || he --- changes --> speed ||,the independent (manipulated) variable,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. The independent (manipulated) variable is the physicist investigating when he changes the speed.",car --- must reach --> jump over ramp || car --- must reach --> jump || car --- jump over --> ramp || physicist --- wants --> determine || physicist --- conducts --> three trials || speed --- is increased by --> 20 miles || speed --- is --> increased || speed --- is --> in trials increased by 20 miles per hour || speed --- is increased by --> 20 miles per hour || speed --- is --> in trials increased by 20 miles || speed --- is increased in --> trials || variable --- is --> physicist investigating || variable --- is --> physicist || independent variable --- is --> physicist investigating || independent variable --- is --> physicist || he --- changes --> speed ||,NA,NA,NA
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,They have each lost kinetic energy.,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after Both objects have fallen a distance of 1.0 m?,astronaut --- drops --> 5.0 kg object || astronaut --- drops --> 1.0 kg object || objects --- fall vertically --> total distance || objects --- fall --> total distance || objects --- fall vertically --> distance of 2.0 m || objects --- fall --> distance of 2.0 m || objects --- fall vertically --> distance || objects --- fall --> distance || objects --- fall vertically --> total distance of 2.0 m || objects --- fall --> total distance of 2.0 m || they --- have fallen --> distance of 1.0 m || they --- distance of --> 1.0 m || they --- have fallen --> distance ||,They have each gained the same amount of potential energy.,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after Both objects have fallen a distance of 1.0 m?,astronaut --- drops --> 5.0 kg object || astronaut --- drops --> 1.0 kg object || objects --- fall vertically --> total distance || objects --- fall --> total distance || objects --- fall vertically --> distance of 2.0 m || objects --- fall --> distance of 2.0 m || objects --- fall vertically --> distance || objects --- fall --> distance || objects --- fall vertically --> total distance of 2.0 m || objects --- fall --> total distance of 2.0 m || they --- have fallen --> distance of 1.0 m || they --- distance of --> 1.0 m || they --- have fallen --> distance ||,They have each lost the same amount of potential energy.,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after Both objects have fallen a distance of 1.0 m?,astronaut --- drops --> 5.0 kg object || astronaut --- drops --> 1.0 kg object || objects --- fall vertically --> total distance || objects --- fall --> total distance || objects --- fall vertically --> distance of 2.0 m || objects --- fall --> distance of 2.0 m || objects --- fall vertically --> distance || objects --- fall --> distance || objects --- fall vertically --> total distance of 2.0 m || objects --- fall --> total distance of 2.0 m || they --- have fallen --> distance of 1.0 m || they --- distance of --> 1.0 m || they --- have fallen --> distance ||,They have each gained one-half of their maximum kinetic energy.,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after Both objects have fallen a distance of 1.0 m?,astronaut --- drops --> 5.0 kg object || astronaut --- drops --> 1.0 kg object || objects --- fall vertically --> total distance || objects --- fall --> total distance || objects --- fall vertically --> distance of 2.0 m || objects --- fall --> distance of 2.0 m || objects --- fall vertically --> distance || objects --- fall --> distance || objects --- fall vertically --> total distance of 2.0 m || objects --- fall --> total distance of 2.0 m || they --- have fallen --> distance of 1.0 m || they --- distance of --> 1.0 m || they --- have fallen --> distance ||,NA,NA,NA
Mercury_7270393,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"a non-infectious, cell-cycle disease","Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. A non-infectious, cell-cycle disease is the best description of DFTD.",disease --- passes from --> one animal || disease --- is caused by --> parasites || disease --- is --> caused || disease --- passes through --> bites || disease --- passes to --> another || disease --- is description of --> dftd || disease --- is best description of --> dftd || disease --- is --> description || disease --- is --> best description || infected animal --- throughout --> body || non-infectious cell-cycle disease --- is description of --> dftd || non-infectious cell-cycle disease --- is best description of --> dftd || non-infectious cell-cycle disease --- is --> description || non-infectious cell-cycle disease --- is --> best description || cell-cycle disease --- is --> best description || cell-cycle disease --- is --> description || cell-cycle disease --- is description of --> dftd || cell-cycle disease --- is best description of --> dftd || non-infectious disease --- is --> description || non-infectious disease --- is description of --> dftd || non-infectious disease --- is best description of --> dftd || non-infectious disease --- is --> best description ||,"an infectious, cell-cycle disease","Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. An infectious, cell-cycle disease is the best description of DFTD.",disease --- passes from --> one animal || disease --- is caused by --> parasites || disease --- is --> caused || disease --- passes through --> bites || disease --- passes to --> another || disease --- is description of --> dftd || disease --- is best description of --> dftd || disease --- is --> description || disease --- is --> best description || infected animal --- throughout --> body || cell-cycle disease --- is --> best description || cell-cycle disease --- is --> description || cell-cycle disease --- is description of --> dftd || cell-cycle disease --- is best description of --> dftd || infectious cell-cycle disease --- is description of --> dftd || infectious cell-cycle disease --- is best description of --> dftd || infectious cell-cycle disease --- is --> best description || infectious cell-cycle disease --- is --> description || infectious disease --- is --> best description || infectious disease --- is --> description || infectious disease --- is description of --> dftd || infectious disease --- is best description of --> dftd ||,"a non-infectious, chronic disease","Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. A non-infectious, chronic disease is the best description of DFTD.",disease --- passes from --> one animal || disease --- is caused by --> parasites || disease --- is --> caused || disease --- passes through --> bites || disease --- passes to --> another || disease --- is best description of --> dftd || disease --- non-infectious is description of --> dftd || disease --- is description of --> dftd || disease --- non-infectious is best description of --> dftd || disease --- is --> non-infectious description || disease --- is --> non-infectious || disease --- is --> best || disease --- is --> description || disease --- is --> best description || disease --- is --> non-infectious best description || infected animal --- throughout --> body || chronic disease --- is best description of --> dftd || chronic disease --- non-infectious is description of --> dftd || chronic disease --- is description of --> dftd || chronic disease --- non-infectious is best description of --> dftd || chronic disease --- is --> best description || chronic disease --- is --> non-infectious description || chronic disease --- is --> description || chronic disease --- is --> non-infectious best description ||,"an infectious, chronic disease","Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. Devil facial tumor disease -LRB- DFTD -RRB- ban infected animal 's bodyes and is caused by parasan infected animal 's bodyes. The parasan infected animal 's bodyes cause cancerous tumors that spread throughout an infected animal's body and kill an infected animal 's body. An infectious, chronic disease is the best description of DFTD.",disease --- passes from --> one animal || disease --- is caused by --> parasites || disease --- is --> caused || disease --- passes through --> bites || disease --- passes to --> another || disease --- is --> infectious best description || disease --- infectious is description of --> dftd || disease --- is description of --> dftd || disease --- is best description of --> dftd || disease --- infectious is best description of --> dftd || disease --- is --> best || disease --- is --> description || disease --- is --> infectious || disease --- is --> best description || disease --- is --> infectious description || infected animal --- throughout --> body || chronic disease --- is best description of --> dftd || chronic disease --- is description of --> dftd || chronic disease --- infectious is description of --> dftd || chronic disease --- infectious is best description of --> dftd || chronic disease --- is --> infectious description || chronic disease --- is --> best description || chronic disease --- is --> description || chronic disease --- is --> infectious best description ||,NA,NA,NA
MCAS_2014_5_7,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?",to repare for migration before winter,"A type of small mammal from the mountain regions of the western United States makes A type of small mammal from the mountain regions of the western United States home out of piles of rock. During summer months, small mammal from the mountain regions of the western United States places grasses and seeds in protected places in the rock piles. To repare for migration before winter is the most likely reason for this behavior.",,to provide warmth during the cold winter months,"A type of small mammal from the mountain regions of the western United States makes A type of small mammal from the mountain regions of the western United States home out of piles of rock. During summer months, small mammal from the mountain regions of the western United States places grasses and seeds in protected places in the rock piles. To provide warmth during summer months is the most likely reason for this behavior.",,to store food that will be eaten over the winter months,"A type of small mammal from the mountain regions of the western United States makes A type of small mammal from the mountain regions of the western United States home out of piles of rock. During summer months, small mammal from the mountain regions of the western United States places grasses and seeds in protected places in the rock piles. To store food that will be eaten over summer months is the most likely reason for this behavior.",small mammal --- makes --> its home || mammal --- makes --> its home || mammal --- places seeds in --> places in rock piles || mammal --- places grasses in --> places in rock piles || mammal --- places seeds in --> protected places || mammal --- places grasses in --> protected places || mammal --- places seeds in --> places || mammal --- places grasses in --> places || mammal --- places --> seeds || mammal --- places grasses during --> summer months || mammal --- places seeds during --> summer months || mammal --- places --> grasses || mammal --- places seeds in --> protected places in rock piles || mammal --- places grasses in --> protected places in rock piles || protected places --- is in --> rock piles ||,to protect the grasses and seeds from decay before winter,"A type of small mammal from the mountain regions of the western United States makes A type of small mammal from the mountain regions of the western United States home out of piles of rock. During summer months, small mammal from the mountain regions of the western United States places grasses and seeds in protected places in the rock piles. To protect the grasses and seeds from decay before winter is the most likely reason for this behavior.",small mammal --- makes --> its home || mammal --- makes --> its home || mammal --- places seeds in --> places in rock piles || mammal --- places grasses in --> places in rock piles || mammal --- places seeds in --> protected places || mammal --- places grasses in --> protected places || mammal --- places seeds in --> places || mammal --- places grasses in --> places || mammal --- places --> seeds || mammal --- places grasses during --> summer months || mammal --- places seeds during --> summer months || mammal --- places --> grasses || mammal --- places seeds in --> protected places in rock piles || mammal --- places grasses in --> protected places in rock piles || protected places --- is in --> rock piles ||,NA,NA,NA
Mercury_7086660,Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?,There was once more water in the area.,Petrified palm trees are found in sedimentary rock near glaciers. The presence of Petrified palm trees provides evidence for there was once more water in the area statement.,petrified palm trees --- are found in --> sedimentary rock near glaciers || petrified palm trees --- are --> found || petrified palm trees --- are found in --> sedimentary rock || petrified palm trees --- are found in --> rock near glaciers || petrified palm trees --- are found in --> rock || palm trees --- are found in --> rock || palm trees --- are --> found || palm trees --- are found in --> rock near glaciers || palm trees --- are found in --> sedimentary rock || palm trees --- are found in --> sedimentary rock near glaciers || presence --- likely provides --> evidence || presence --- provides --> evidence || presence --- most likely provides --> evidence || presence --- likely provides --> evidence for there || presence --- provides --> evidence for there || presence --- most likely provides --> evidence for there || evidence --- presence of --> palm trees || evidence --- presence of --> petrified palm trees || more water --- is in --> area statement ||,The area was once grassland.,Petrified palm trees are found in sedimentary rock near glaciers. The presence of Petrified palm trees provides evidence for the area was once grassland statement.,petrified palm trees --- are found in --> sedimentary rock near glaciers || petrified palm trees --- are --> found || petrified palm trees --- are found in --> sedimentary rock || petrified palm trees --- are found in --> rock near glaciers || petrified palm trees --- are found in --> rock || palm trees --- are found in --> rock || palm trees --- are --> found || palm trees --- are found in --> rock near glaciers || palm trees --- are found in --> sedimentary rock || palm trees --- are found in --> sedimentary rock near glaciers || presence --- likely provides --> evidence for area || presence --- provides --> evidence for area || presence --- most likely provides --> evidence for area || presence --- likely provides --> evidence || presence --- provides --> evidence || presence --- most likely provides --> evidence || evidence --- presence of --> palm trees || evidence --- presence of --> petrified palm trees ||,The climate in the area was once tropical.,Petrified palm trees are found in sedimentary rock near glaciers. The presence of Petrified palm trees provides evidence for the climate in the area was once tropical statement.,petrified palm trees --- are found in --> sedimentary rock near glaciers || petrified palm trees --- are --> found || petrified palm trees --- are found in --> sedimentary rock || petrified palm trees --- are found in --> rock near glaciers || petrified palm trees --- are found in --> rock || palm trees --- are found in --> rock || palm trees --- are --> found || palm trees --- are found in --> rock near glaciers || palm trees --- are found in --> sedimentary rock || palm trees --- are found in --> sedimentary rock near glaciers || presence --- likely provides --> evidence for climate in area || presence --- provides --> evidence for climate in area || presence --- most likely provides --> evidence for climate in area || presence --- likely provides --> evidence || presence --- provides --> evidence || presence --- most likely provides --> evidence || presence --- likely provides --> evidence for climate || presence --- provides --> evidence for climate || presence --- most likely provides --> evidence for climate || evidence --- presence of --> palm trees || evidence --- presence of --> petrified palm trees || climate --- is in --> area ||,There are active faults in the area.,Petrified palm trees are found in sedimentary rock near glaciers. The presence of Petrified palm trees provides evidence for there are active faults in the area statement.,petrified palm trees --- are found in --> sedimentary rock near glaciers || petrified palm trees --- are --> found || petrified palm trees --- are found in --> sedimentary rock || petrified palm trees --- are found in --> rock near glaciers || petrified palm trees --- are found in --> rock || palm trees --- are found in --> rock || palm trees --- are --> found || palm trees --- are found in --> rock near glaciers || palm trees --- are found in --> sedimentary rock || palm trees --- are found in --> sedimentary rock near glaciers || presence --- likely provides --> evidence || presence --- provides --> evidence || presence --- most likely provides --> evidence || presence --- likely provides --> evidence for there || presence --- provides --> evidence for there || presence --- most likely provides --> evidence for there || evidence --- presence of --> palm trees || evidence --- presence of --> petrified palm trees || active faults --- is in --> area statement ||,NA,NA,NA
Mercury_7168805,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,The chicken population would go down.,Farmers in Wyoming were concerned because some of Farmers in Wyoming chickens were being preyed upon by hawks that lived in areas around Farmers in Wyoming ranches. Farmers in Wyoming grouped together and hunted by hawks that lived in areas around Farmers in Wyoming ranches until Farmers in Wyoming were no longer in Farmers in Wyoming area. The chicken population would go down would most likely happen next.,farmers --- were concerned --> were preyed || farmers --- is in --> wyoming || farmers --- were --> concerned || some --- were --> were preyed ||,Populations of mice and rats would increase.,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Populations of mice and rats would increase would most likely happen next.,car --- must reach --> jump over ramp || car --- must reach --> jump || car --- jump over --> ramp || physicist --- wants --> determine || physicist --- conducts --> three trials || speed --- is increased by --> 20 miles || speed --- is --> increased || speed --- is --> in trials increased by 20 miles per hour || speed --- is increased by --> 20 miles per hour || speed --- is --> in trials increased by 20 miles || speed --- is increased in --> trials || hypothesis statement --- is --> physicist investigating || hypothesis statement --- is --> physicist || he --- changes --> speed ||,Another bird of prey would replace the hawk.,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Another bird of prey would replace the hawk would most likely happen next.,farmers --- were concerned --> were preyed || farmers --- is in --> wyoming || farmers --- were --> concerned || some --- were --> were preyed ||,The chickens would have a lower rate of disease.,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. The chickens would have a lower rate of disease would most likely happen next.,farmers --- were concerned --> were preyed || farmers --- is in --> wyoming || farmers --- were --> concerned || some --- were --> were preyed || chickens --- would have --> lower rate || chickens --- rate of --> disease || chickens --- lower rate of --> disease || chickens --- would have --> lower rate of disease || chickens --- would have --> rate of disease || chickens --- would have --> rate ||,NA,NA,NA
MCAS_2003_8_11,Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?,the atom,Copper is an element that is used in electrical wires. The atom is the smallest unit of Copper that still maintains the characteristics of Copper.,copper --- is element --> used || copper --- is element --> used in wires || copper --- is element --> used in electrical wires ||,the electron,Copper is an element that is used in electrical wires. The electron is the smallest unit of Copper that still maintains the characteristics of Copper.,copper --- is element --> used || copper --- is element --> used in wires || copper --- is element --> used in electrical wires ||,the nucleus,Copper is an element that is used in electrical wires. The nucleus is the smallest unit of Copper that still maintains the characteristics of Copper.,copper --- is element --> used || copper --- is element --> used in wires || copper --- is element --> used in electrical wires ||,the proton,Copper is an element that is used in electrical wires. The proton is the smallest unit of Copper that still maintains the characteristics of Copper.,copper --- is element --> used || copper --- is element --> used in wires || copper --- is element --> used in electrical wires ||,NA,NA,NA
